Název mapy,Odkaz na StareMapy.cz
Plány odvodnění pozemků rajhradského kláštera,http://staremapy.georeferencer.cz/map/2iBaNSISozESRqZSMZCJqL/201503030944-jjIAc8/georeference,Rajhrad
Plány odvodnění pozemků rajhradského kláštera,http://staremapy.georeferencer.cz/map/mCbrKdirk8MURMUBJFqGIL/201609141025-aT0UqG/georeference,Rajhrad
Termes de géographie,http://staremapy.georeferencer.cz/map/isrjWNEfr8IA5p0YbZ9Uou/201302270723-Qzdy0j/georeference,Masarykova univerzita
Termes de géographie,http://staremapy.georeferencer.cz/map/wgW7nD9lEmo4mFGPBuA9o9/201302270723-fFYWjd/georeference,Masarykova univerzita
Atlas der österreichischen Alpenseen,http://staremapy.georeferencer.cz/map/Pzz75No6FehfcEHcHcAvuG/201305131133-ZditFZ/georeference,Národní technická knihovna
Atlas der österreichischen Alpenseen,http://staremapy.georeferencer.cz/map/JH6UT6TbNenJA9TCZT9NK7/201503020922-lMkTFP/georeference,Národní technická knihovna
Stereographischer Entwurf des gestirnten Himmels vom Nordpol bis zum 38sten Grad sudlicher Abweichung,http://staremapy.georeferencer.cz/map/HwNA9RpX7KFww5SmKNhjwH/201302261900-urvJ72/georeference,Jihočeská vědecká knihovna v Českých Budějovicích
Přehled statistický a veškeré příslušnosti okresního hejtmanství píseckého,http://staremapy.georeferencer.cz/map/CnIYzfgoWDfIaTsmr1U9wJ/201302261858-0X3MsX/georeference,Jihočeská vědecká knihovna v Českých Budějovicích
Die verfinsterte Erdkugel d. i. Geographische Vorstellvng der Sonnen od. Erd. Finsternis den 25ten Iulii Ao. 1748 ...,http://staremapy.georeferencer.cz/map/z6oVpTWaqePmHbi16G1dmx/201302261859-4jQ4Ql/georeference,Jihočeská vědecká knihovna v Českých Budějovicích
"Podrobné mapy zemí Koruny české v měřítku 1:75.000 a mapa vzdáleností všech míst při silnici ležících - Přeštice - Švihov - Klatovy. Průvodce statisticko-historický po všech místech na těchto mapách uvedených a rejstřík věcný názvů hor, potoků, řek, rybníků atd. Sešit 41. List 22,",http://staremapy.georeferencer.cz/map/8ZgQ6KlvIgYuWEdA98NsCJ/201412201139-XT47go/georeference,Historický ústav AVČR
"Podrobné mapy zemí Koruny české v měřítku 1:75.000 a mapa vzdáleností všech míst při silnici ležících - Přeštice - Švihov - Klatovy. Průvodce statisticko-historický po všech místech na těchto mapách uvedených a rejstřík věcný názvů hor, potoků, řek, rybníků atd. Sešit 41. List 22,",http://staremapy.georeferencer.cz/map/3pf9RUDjG5lUlIdRYeEfsz/201606211841-1A0emZ/georeference,Historický ústav AVČR
"Podrobné mapy zemí Koruny české v měřítku 1:75.000 a mapa vzdáleností všech míst při silnici ležících - Přeštice - Švihov - Klatovy. Průvodce statisticko-historický po všech místech na těchto mapách uvedených a rejstřík věcný názvů hor, potoků, řek, rybníků atd. Sešit 41. List 22,",http://staremapy.georeferencer.cz/map/8PCqVI3WjppAJAzJ51o2E8/201606211838-Zgj5m8/georeference,Historický ústav AVČR
"Podrobné mapy zemí Koruny české v měřítku 1:75.000 a mapa vzdáleností všech míst při silnici ležících - Přeštice - Švihov - Klatovy. Průvodce statisticko-historický po všech místech na těchto mapách uvedených a rejstřík věcný názvů hor, potoků, řek, rybníků atd. Sešit 41. List 22,",http://staremapy.georeferencer.cz/map/skSfaxLNnf86E18m5eNeBM/201606211828-twlFEP/georeference,Historický ústav AVČR
Müllerova mapa Čech,http://staremapy.georeferencer.cz/map/Hs0a6XCgCBjTZHJ8XQckNZ/201503261259-vvFZHk/georeference,Městské muzeum Jaroměř
Obrazová část mapy,http://staremapy.georeferencer.cz/map/fQEMbSjTzkGLRTVvgFp9yc/201411281550-hkdSSP/georeference,Městské muzeum Jaroměř
Obrazová část mapy,http://staremapy.georeferencer.cz/map/fQEMbSjTzkGLRTVvgFp9yc/201411281550-hkdSSP/georeference,Městské muzeum Jaroměř
Müllerova mapa Čech,http://staremapy.georeferencer.cz/map/Hs0a6XCgCBjTZHJ8XQckNZ/201503261259-vvFZHk/georeference,Městské muzeum Jaroměř
Müllerova mapa Čech,http://staremapy.georeferencer.cz/map/z3w2Cx1v6VWGqlCQdXbCjV/201411302129-QkDsLx/georeference,Městské muzeum Jaroměř
Praha - městská hromadná doprava,http://staremapy.georeferencer.cz/map/6vUxPSZdBkuYnVYEkDin3G/201504132315-nMjPIn/georeference,Městská knihovna v Praze
Neuester Plan der königl. Hauptstadt Prag und der Vororten,http://staremapy.georeferencer.cz/map/pJkjLbSLGlLiQzXcsksgCQ/201504132315-PLN7Af/georeference,Městská knihovna v Praze
Praha - plán středu města,http://staremapy.georeferencer.cz/map/jF4bIrz4SOhT8golVXCCKH/201504132316-ym1HSu/georeference,Městská knihovna v Praze
Praha : orientační plán - střed města,http://staremapy.georeferencer.cz/map/NDeuNgR48uHv3ywsvlilaH/201503192023-x4V7EO/georeference,Městská knihovna v Praze
Jubilejní výstava v Praze 1908 = Jubiläums-Ausstellung Prag 1908 = Exposition jubilaire Prague 1908,http://staremapy.georeferencer.cz/map/NIfaD6EvjZ9ONri7huV0nI/201504041330-ejED0O/georeference,Městská knihovna v Praze
Praha : plán města,http://staremapy.georeferencer.cz/map/FwVIfUChPDIKZ9rMsOFNTk/201503192027-ZSxfU9/georeference,Městská knihovna v Praze
Nejnovější plán Prahy,http://staremapy.georeferencer.cz/map/Hcfvj8sfey9PxW8VY3cCBu/201412050755-oi0AGy/georeference,Městská knihovna v Praze
"Praha. Mapy staré Prahy k letům 1200, 1348 a 1419",http://staremapy.georeferencer.cz/map/yNCOWNF3ScPINlB4lmb0QB/201412061331-HgIRrC/georeference,Městská knihovna v Praze
Praha : plastický plán : Praha v době VIII. sletu všesokolského 1926,http://staremapy.georeferencer.cz/map/bVN2fpjIFC4NVEbZTEoKi2/201503192028-LRVlgA/georeference,Městská knihovna v Praze
Praha : plastický plán : Praha v době VIII. sletu všesokolského 1926,http://staremapy.georeferencer.cz/map/3UqkP3GgQl3ZR4XMXv2kvr/201503192023-N998g9/georeference,Městská knihovna v Praze
Praha : orientační plán středu města,http://staremapy.georeferencer.cz/map/ELX64ovt9CrdqIwgMWj126/201503192026-Lv280Q/georeference,Městská knihovna v Praze
"Nejnovější a nejúplnější plán král. hlav. města Prahy s předměstími : (Smíchov, Nusle, Vršovice, Král. Vinohrady, Žižkov, Karlín, Bubeneč)",http://staremapy.georeferencer.cz/map/7BHJCHNIkLWnbVdh7KuVG0/201412021516-rmZloy/georeference,Městská knihovna v Praze
Praha : plán města,http://staremapy.georeferencer.cz/map/StzDDTuG6Us9aiE7Ivm2zB/201501290044-20AJDP/georeference,Městská knihovna v Praze
Praha : plán středu města,http://staremapy.georeferencer.cz/map/FFHHZ52ytVSH8L5Z3E0jgb/201601291500-DHGHdg/georeference,Městská knihovna v Praze
Praha : orientační plán,http://staremapy.georeferencer.cz/map/vobnpu3c5Idufq6NSLYBiY/201503192027-O1dqbf/georeference,Městská knihovna v Praze
Praha : orientační plán,http://staremapy.georeferencer.cz/map/FxFNfEn7XqbXoHQeSBA6Ug/201606101033-vLySRy/georeference,Městská knihovna v Praze
Praha : orientační plán,http://staremapy.georeferencer.cz/map/dAx7UWHKvVqEDzwqTmK0Fg/201606101034-Bm6OkZ/georeference,Městská knihovna v Praze
Pražské vzorkové veletrhy,http://staremapy.georeferencer.cz/map/7zRnP8AdeKHdabo2YUhSAV/201504132312-iuvD1n/georeference,Městská knihovna v Praze
Mapový obraz Malé Strany a Strahova ze 17. století : [faksimile plánů],http://staremapy.georeferencer.cz/map/gx8Rlx86ZWNauTg5DarFxf/201412031617-A70tiR/georeference,Městská knihovna v Praze
Pražské vzorkové veletrhy,http://staremapy.georeferencer.cz/map/yGR9SOYyd8nFCAQrx3zAyO/201412041644-CoTvZ9/georeference,Městská knihovna v Praze
Orientační plán hlavního města Prahy,http://staremapy.georeferencer.cz/map/9D8vSKmb60IDyI0JH2L1Tg/201610191804-BFC8LQ/georeference,Městská knihovna v Praze
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/SUyTh89A7CxeUTMvSIQHEx/201302270928-AjSJsb/georeference,Vědecká knihovna v Olomouci
Richtige Anzeige wie weit die Haupt-Orte in Deutschland und andere berühmte Staedte in Europa von einander entlegen = Germaniae aliorumque quorundam locorum Europae poliometria,http://staremapy.georeferencer.cz/map/7xaZgmxj4KJY46sdPhFkMv/201302270929-PaY06e/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/HWGvoHCruqZYApmUYiyXI9/201302270928-SlkSwx/georeference,Vědecká knihovna v Olomouci
Erklaerungs und Verzeichniss Blatt zu dem grossen deutschen Atlasse,http://staremapy.georeferencer.cz/map/CxxpFZI6umPsifGFmHz4Fa/201302270929-NsSmrD/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/As86So3lJSil89Usae3VV9/201302270928-MBELnD/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/BdvCtYqyXBrX8RvkO1Eicx/201302270928-oDLNyM/georeference,Vědecká knihovna v Olomouci
[Cartae geographicae] ,http://staremapy.georeferencer.cz/map/RPUaVg2tk5N37pviF9n4mB/201302270930-WCOySX/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/ozBOlvSelgE5E3s3XlC2x9/201302270928-xJWXYL/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/TMit2Dt39ujMKZ0RE5TEei/201302270928-E0uTep/georeference,Vědecká knihovna v Olomouci
Geologische Karte der im Reichsrathe vertretenen Königreiche und Länder der Österreich-Ungarischen Monarchie.auf Grundlage der Specialkarte i. M. 1:75.000 des k.u.k. Militär-geographischen Institutes..Erste und zweite Lieferung ,http://staremapy.georeferencer.cz/map/TMI8g1AQT0NGoBu9JU089O/201302270928-094lEk/georeference,Vědecká knihovna v Olomouci
